:START_ID,:END_ID,type
368,8,REL
692,793,REL
382,43,REL
7,422,REL
178,31,REL
860,229,REL
101,34,REL
585,42,REL
291,61,REL
964,10,REL
69,806,REL
432,454,REL
952,734,REL
504,521,REL
79,608,REL
466,813,REL
435,236,REL
289,890,REL
630,28,REL
298,845,REL
846,367,REL
612,685,REL
872,819,REL
366,393,REL
631,276,REL
859,60,REL
79,566,REL
356,353,REL
806,719,REL
993,593,REL
707,272,REL
240,235,REL
658,929,REL
121,369,REL
630,826,REL
544,730,REL
782,59,REL
451,6,REL
900,480,REL
997,860,REL
26,232,REL
5,548,REL
184,534,REL
529,408,REL
454,885,REL
995,461,REL
409,510,REL
223,807,REL
292,777,REL
59,450,REL
127,784,REL
573,113,REL
625,954,REL
777,258,REL
366,795,REL
129,1,REL
530,45,REL
746,598,REL
191,537,REL
394,121,REL
693,888,REL
249,819,REL
216,608,REL
750,811,REL
756,387,REL
103,160,REL
997,601,REL
487,458,REL
76,417,REL
542,39,REL
133,927,REL
289,862,REL
750,741,REL
693,479,REL
921,877,REL
182,121,REL
832,682,REL
643,248,REL
150,186,REL
296,156,REL
354,148,REL
693,134,REL
718,250,REL
513,805,REL
288,496,REL
913,621,REL
880,322,REL
405,706,REL
876,204,REL
462,612,REL
856,736,REL
441,518,REL
566,347,REL
769,13,REL
199,742,REL
950,808,REL
11,507,REL
927,758,REL
704,81,REL
525,204,REL
628,121,REL
514,999,REL
13,785,REL
480,955,REL
222,51,REL
269,842,REL
981,100,REL
953,340,REL
436,897,REL
311,125,REL
140,608,REL
447,731,REL
864,929,REL
989,433,REL
587,670,REL
913,154,REL
64,93,REL
428,175,REL
753,312,REL
176,855,REL
532,241,REL
403,687,REL
318,722,REL
431,419,REL
716,818,REL
687,864,REL
890,137,REL
985,813,REL
692,782,REL
211,299,REL
784,147,REL
476,427,REL
115,222,REL
123,16,REL
38,881,REL
79,528,REL
605,524,REL
688,226,REL
371,566,REL
27,91,REL
972,504,REL
519,719,REL
649,305,REL
650,522,REL
342,115,REL
604,289,REL
641,569,REL
859,727,REL
26,565,REL
443,32,REL
52,917,REL
384,490,REL
722,339,REL
557,138,REL
927,858,REL
153,152,REL
852,142,REL
469,984,REL
63,268,REL
576,603,REL
271,659,REL
377,389,REL
617,216,REL
965,801,REL
745,77,REL
528,452,REL
916,442,REL
380,389,REL
528,626,REL
375,811,REL
849,949,REL
284,407,REL
897,43,REL
718,631,REL
422,711,REL
442,247,REL
380,926,REL
210,203,REL
20,379,REL
314,509,REL
244,338,REL
65,165,REL
160,647,REL
501,293,REL
334,725,REL
191,912,REL
107,231,REL
408,327,REL
272,289,REL
955,403,REL
146,806,REL
216,87,REL
74,471,REL
159,4,REL
566,984,REL
67,64,REL
598,742,REL
930,548,REL
76,160,REL
850,681,REL
584,583,REL
194,172,REL
930,236,REL
770,72,REL
109,80,REL
719,551,REL
5,672,REL
239,192,REL
268,253,REL
167,777,REL
529,248,REL
759,964,REL
47,879,REL
975,365,REL
741,204,REL
669,551,REL
556,493,REL
720,129,REL
361,774,REL
200,876,REL
