:START_ID,:END_ID,type
301,658,REL
949,479,REL
669,163,REL
827,444,REL
562,621,REL
328,250,REL
745,581,REL
240,110,REL
877,116,REL
722,546,REL
760,640,REL
692,105,REL
222,363,REL
654,94,REL
275,914,REL
197,724,REL
617,802,REL
86,337,REL
445,760,REL
730,5,REL
234,662,REL
869,229,REL
943,208,REL
258,309,REL
495,996,REL
966,928,REL
751,944,REL
492,179,REL
500,89,REL
11,695,REL
621,411,REL
48,541,REL
817,485,REL
297,170,REL
166,722,REL
51,169,REL
28,827,REL
583,191,REL
390,689,REL
525,701,REL
883,753,REL
524,978,REL
18,617,REL
220,263,REL
763,829,REL
972,308,REL
116,416,REL
494,416,REL
902,735,REL
311,862,REL
593,861,REL
827,815,REL
317,887,REL
206,454,REL
527,592,REL
894,771,REL
972,426,REL
308,556,REL
828,977,REL
493,977,REL
331,28,REL
294,804,REL
20,396,REL
184,694,REL
145,239,REL
28,359,REL
419,133,REL
818,81,REL
5,201,REL
800,325,REL
855,274,REL
746,535,REL
296,524,REL
623,514,REL
112,461,REL
266,669,REL
172,54,REL
2,326,REL
124,457,REL
193,705,REL
794,570,REL
37,727,REL
814,935,REL
707,440,REL
505,851,REL
67,335,REL
316,541,REL
494,749,REL
696,191,REL
624,850,REL
190,393,REL
96,493,REL
541,962,REL
418,805,REL
762,326,REL
719,849,REL
714,294,REL
405,618,REL
506,93,REL
667,990,REL
491,588,REL
177,685,REL
871,18,REL
607,384,REL
764,719,REL
987,19,REL
226,767,REL
749,120,REL
942,326,REL
149,390,REL
16,815,REL
172,783,REL
996,650,REL
955,419,REL
892,164,REL
516,973,REL
647,129,REL
24,786,REL
242,203,REL
904,802,REL
343,319,REL
527,591,REL
862,484,REL
793,254,REL
996,293,REL
26,490,REL
441,152,REL
411,993,REL
908,769,REL
519,438,REL
22,782,REL
418,470,REL
198,440,REL
340,970,REL
25,190,REL
328,640,REL
89,493,REL
594,284,REL
51,159,REL
202,709,REL
989,66,REL
40,888,REL
475,660,REL
148,463,REL
281,164,REL
764,665,REL
533,272,REL
915,990,REL
294,196,REL
367,871,REL
234,848,REL
647,435,REL
995,689,REL
454,986,REL
384,288,REL
805,399,REL
209,452,REL
958,444,REL
718,424,REL
892,9,REL
554,342,REL
171,863,REL
458,951,REL
731,570,REL
156,626,REL
54,687,REL
297,216,REL
579,627,REL
169,199,REL
271,983,REL
102,548,REL
40,360,REL
751,491,REL
198,301,REL
130,812,REL
299,889,REL
249,99,REL
124,991,REL
12,433,REL
107,685,REL
448,38,REL
132,813,REL
779,189,REL
883,410,REL
92,252,REL
969,242,REL
76,833,REL
788,230,REL
877,392,REL
462,41,REL
956,589,REL
395,721,REL
164,714,REL
949,632,REL
328,230,REL
173,869,REL
834,304,REL
623,673,REL
304,218,REL
611,662,REL
279,430,REL
600,658,REL
423,604,REL
938,696,REL
550,538,REL
890,303,REL
683,202,REL
576,553,REL
605,153,REL
710,574,REL
464,506,REL
794,463,REL
14,83,REL
520,944,REL
501,758,REL
438,962,REL
217,322,REL
133,756,REL
661,286,REL
794,348,REL
974,608,REL
252,481,REL
295,275,REL
571,772,REL
174,163,REL
932,930,REL
168,759,REL
77,70,REL
861,441,REL
48,325,REL
406,472,REL
328,840,REL
219,81,REL
468,449,REL
37,84,REL
861,102,REL
670,530,REL
620,725,REL
427,236,REL
181,349,REL
740,579,REL
948,749,REL
36,299,REL
377,17,REL
224,855,REL
300,43,REL
279,305,REL
662,981,REL
46,976,REL
617,923,REL
988,61,REL
578,228,REL
451,873,REL
142,249,REL
667,943,REL
92,165,REL
191,458,REL
249,103,REL
28,388,REL
100,157,REL
244,314,REL
112,413,REL
823,140,REL
644,116,REL
99,741,REL
658,793,REL
0,664,REL
813,926,REL
12,200,REL
215,976,REL
157,626,REL
583,342,REL
256,112,REL
290,39,REL
694,148,REL
912,559,REL
105,86,REL
930,672,REL
722,157,REL
887,882,REL
965,119,REL
42,823,REL
835,814,REL
887,896,REL
595,336,REL
76,512,REL
119,352,REL
242,193,REL
230,448,REL
635,734,REL
43,533,REL
7,557,REL
433,141,REL
304,158,REL
906,712,REL
93,668,REL
278,652,REL
112,170,REL
989,412,REL
558,964,REL
165,880,REL
175,662,REL
39,554,REL
629,898,REL
975,761,REL
769,745,REL
170,577,REL
876,53,REL
680,932,REL
544,961,REL
255,981,REL
550,627,REL
64,190,REL
441,631,REL
280,304,REL
105,527,REL
728,503,REL
16,287,REL
458,999,REL
711,238,REL
457,227,REL
158,900,REL
855,514,REL
46,332,REL
271,775,REL
760,250,REL
