:START_ID,:END_ID,type
78,25,REL
611,712,REL
885,485,REL
33,176,REL
925,487,REL
479,734,REL
168,560,REL
144,157,REL
355,242,REL
501,363,REL
399,733,REL
667,266,REL
281,883,REL
289,292,REL
787,818,REL
432,855,REL
788,947,REL
279,938,REL
431,88,REL
261,90,REL
256,89,REL
861,931,REL
14,605,REL
503,581,REL
117,783,REL
323,478,REL
596,657,REL
992,273,REL
950,397,REL
685,737,REL
439,113,REL
152,445,REL
152,376,REL
173,355,REL
198,526,REL
595,378,REL
74,662,REL
424,522,REL
27,968,REL
20,154,REL
150,218,REL
390,561,REL
998,692,REL
193,233,REL
382,229,REL
453,447,REL
52,957,REL
697,533,REL
231,809,REL
457,573,REL
399,854,REL
349,311,REL
211,903,REL
465,303,REL
789,551,REL
747,878,REL
488,287,REL
828,161,REL
537,262,REL
489,921,REL
441,700,REL
999,923,REL
612,703,REL
972,407,REL
553,101,REL
5,713,REL
118,332,REL
190,169,REL
667,894,REL
385,583,REL
184,246,REL
268,721,REL
281,332,REL
22,373,REL
557,249,REL
743,168,REL
729,211,REL
257,508,REL
670,577,REL
899,51,REL
759,183,REL
510,633,REL
629,671,REL
819,317,REL
175,904,REL
646,160,REL
855,155,REL
950,828,REL
840,559,REL
273,221,REL
365,440,REL
216,808,REL
851,154,REL
642,206,REL
898,818,REL
270,162,REL
697,432,REL
873,815,REL
501,793,REL
888,990,REL
95,866,REL
376,516,REL
122,181,REL
49,970,REL
914,623,REL
253,268,REL
514,480,REL
612,74,REL
595,327,REL
722,943,REL
457,352,REL
650,573,REL
98,293,REL
535,666,REL
364,49,REL
891,715,REL
104,725,REL
466,441,REL
318,501,REL
533,640,REL
930,789,REL
870,713,REL
204,525,REL
551,52,REL
143,447,REL
6,95,REL
749,835,REL
142,61,REL
489,592,REL
426,356,REL
935,247,REL
55,8,REL
85,606,REL
171,460,REL
585,556,REL
281,507,REL
61,189,REL
811,49,REL
448,402,REL
538,2,REL
310,476,REL
207,596,REL
860,884,REL
169,573,REL
842,322,REL
951,828,REL
264,645,REL
314,70,REL
709,560,REL
575,312,REL
886,206,REL
166,861,REL
688,102,REL
949,58,REL
547,438,REL
820,412,REL
443,787,REL
393,749,REL
627,122,REL
759,973,REL
919,841,REL
89,554,REL
240,783,REL
186,867,REL
928,377,REL
962,635,REL
79,159,REL
350,151,REL
696,406,REL
532,881,REL
973,9,REL
273,97,REL
865,478,REL
120,145,REL
551,123,REL
109,924,REL
104,26,REL
389,470,REL
907,890,REL
746,887,REL
592,33,REL
655,982,REL
518,854,REL
825,628,REL
699,54,REL
634,574,REL
293,39,REL
17,437,REL
825,406,REL
866,765,REL
109,859,REL
893,112,REL
796,185,REL
381,8,REL
752,738,REL
924,537,REL
747,767,REL
332,602,REL
825,101,REL
723,891,REL
902,413,REL
107,96,REL
70,402,REL
92,384,REL
248,66,REL
911,513,REL
516,70,REL
884,460,REL
230,277,REL
644,49,REL
183,989,REL
816,934,REL
482,891,REL
517,270,REL
883,984,REL
745,535,REL
740,217,REL
397,863,REL
625,237,REL
345,86,REL
273,562,REL
22,20,REL
194,134,REL
26,452,REL
293,885,REL
360,526,REL
402,698,REL
432,199,REL
688,295,REL
407,769,REL
825,668,REL
844,990,REL
878,911,REL
483,340,REL
661,360,REL
225,171,REL
879,36,REL
674,624,REL
491,354,REL
414,332,REL
400,94,REL
477,523,REL
487,781,REL
516,3,REL
499,981,REL
290,129,REL
461,765,REL
167,413,REL
88,819,REL
400,54,REL
686,188,REL
964,989,REL
141,620,REL
475,141,REL
796,492,REL
106,355,REL
633,260,REL
646,37,REL
957,104,REL
94,422,REL
61,817,REL
662,600,REL
909,808,REL
327,861,REL
244,995,REL
850,245,REL
548,343,REL
844,351,REL
811,493,REL
334,140,REL
856,895,REL
839,957,REL
189,467,REL
716,318,REL
64,620,REL
351,467,REL
74,757,REL
5,705,REL
732,289,REL
61,596,REL
517,490,REL
597,468,REL
281,485,REL
31,485,REL
636,627,REL
458,982,REL
167,523,REL
66,215,REL
195,777,REL
457,487,REL
73,633,REL
232,691,REL
875,752,REL
898,898,REL
552,538,REL
597,777,REL
530,745,REL
153,175,REL
134,606,REL
828,643,REL
904,442,REL
431,915,REL
423,659,REL
205,524,REL
669,901,REL
991,107,REL
331,831,REL
20,119,REL
286,825,REL
566,989,REL
251,323,REL
382,816,REL
412,970,REL
69,610,REL
469,433,REL
92,83,REL
214,159,REL
457,569,REL
560,424,REL
114,869,REL
127,823,REL
710,145,REL
22,225,REL
808,303,REL
254,863,REL
652,518,REL
795,18,REL
462,516,REL
222,130,REL
886,445,REL
828,255,REL
150,529,REL
152,954,REL
345,691,REL
67,706,REL
803,594,REL
392,694,REL
25,358,REL
939,495,REL
896,353,REL
540,196,REL
726,729,REL
485,496,REL
60,589,REL
562,994,REL
45,991,REL
692,35,REL
649,12,REL
839,717,REL
997,931,REL
474,482,REL
714,543,REL
767,32,REL
304,797,REL
555,257,REL
672,206,REL
442,849,REL
557,918,REL
473,733,REL
663,527,REL
85,762,REL
685,566,REL
237,426,REL
430,496,REL
841,273,REL
957,435,REL
939,77,REL
255,820,REL
526,308,REL
455,943,REL
526,19,REL
754,976,REL
279,753,REL
174,601,REL
658,287,REL
812,38,REL
338,514,REL
630,340,REL
699,819,REL
741,506,REL
946,212,REL
374,306,REL
160,336,REL
186,482,REL
383,272,REL
583,253,REL
910,267,REL
836,630,REL
533,345,REL
77,28,REL
866,329,REL
265,619,REL
970,417,REL
507,55,REL
288,84,REL
684,147,REL
906,30,REL
983,877,REL
656,71,REL
117,819,REL
981,233,REL
609,908,REL
416,375,REL
635,301,REL
462,775,REL
79,683,REL
634,211,REL
747,174,REL
647,411,REL
227,86,REL
534,138,REL
821,527,REL
109,797,REL
586,396,REL
33,804,REL
833,247,REL
165,310,REL
647,377,REL
894,936,REL
523,818,REL
453,422,REL
602,31,REL
818,686,REL
142,835,REL
735,766,REL
513,684,REL
256,58,REL
106,599,REL
436,959,REL
973,383,REL
116,482,REL
782,711,REL
914,341,REL
586,577,REL
59,265,REL
124,474,REL
469,203,REL
399,349,REL
77,941,REL
470,429,REL
888,592,REL
101,706,REL
968,366,REL
699,368,REL
573,369,REL
160,812,REL
686,583,REL
637,673,REL
162,184,REL
235,990,REL
159,125,REL
847,437,REL
463,97,REL
561,127,REL
16,371,REL
23,572,REL
917,628,REL
667,741,REL
702,555,REL
641,566,REL
592,973,REL
481,546,REL
310,475,REL
943,87,REL
669,751,REL
554,478,REL
768,132,REL
899,221,REL
278,707,REL
669,730,REL
840,858,REL
536,945,REL
928,454,REL
194,764,REL
286,486,REL
233,444,REL
623,847,REL
743,634,REL
640,727,REL
418,136,REL
787,445,REL
419,874,REL
344,963,REL
929,134,REL
49,236,REL
358,477,REL
4,741,REL
196,400,REL
887,445,REL
50,432,REL
667,12,REL
370,785,REL
847,595,REL
36,816,REL
481,19,REL
268,961,REL
286,708,REL
897,888,REL
284,593,REL
598,222,REL
713,486,REL
188,297,REL
908,496,REL
340,140,REL
239,997,REL
798,359,REL
360,912,REL
824,145,REL
998,411,REL
993,32,REL
478,111,REL
387,62,REL
354,179,REL
90,420,REL
756,691,REL
945,391,REL
958,951,REL
435,196,REL
353,161,REL
417,553,REL
428,614,REL
82,909,REL
478,960,REL
582,908,REL
957,155,REL
527,185,REL
764,833,REL
564,359,REL
387,865,REL
377,381,REL
569,962,REL
433,102,REL
796,60,REL
656,406,REL
884,611,REL
394,205,REL
666,56,REL
572,407,REL
39,153,REL
754,790,REL
12,306,REL
762,260,REL
224,911,REL
631,463,REL
51,743,REL
845,175,REL
949,545,REL
667,117,REL
341,579,REL
544,584,REL
359,795,REL
574,611,REL
574,932,REL
383,891,REL
132,294,REL
406,603,REL
6,999,REL
456,751,REL
953,297,REL
208,723,REL
827,842,REL
687,356,REL
809,372,REL
90,807,REL
932,472,REL
431,917,REL
911,206,REL
666,51,REL
107,348,REL
159,579,REL
878,282,REL
294,269,REL
212,743,REL
275,437,REL
961,559,REL
208,67,REL
761,917,REL
50,829,REL
770,292,REL
935,755,REL
50,471,REL
295,827,REL
413,40,REL
842,652,REL
358,0,REL
829,632,REL
602,634,REL
521,914,REL
929,124,REL
766,762,REL
998,396,REL
64,468,REL
514,426,REL
391,581,REL
379,352,REL
166,719,REL
416,120,REL
802,728,REL
409,402,REL
486,793,REL
587,418,REL
558,604,REL
631,309,REL
743,29,REL
716,484,REL
916,823,REL
383,972,REL
397,716,REL
671,380,REL
448,256,REL
125,455,REL
925,146,REL
234,69,REL
541,98,REL
960,249,REL
285,282,REL
939,965,REL
335,291,REL
675,408,REL
622,453,REL
62,874,REL
882,871,REL
850,712,REL
306,86,REL
742,704,REL
