:START_ID,:END_ID,type
752,883,REL
684,736,REL
439,151,REL
948,634,REL
301,759,REL
375,542,REL
504,338,REL
773,371,REL
321,835,REL
568,220,REL
865,868,REL
260,581,REL
99,474,REL
117,498,REL
898,499,REL
300,4,REL
325,949,REL
835,936,REL
750,449,REL
376,491,REL
43,580,REL
230,65,REL
511,685,REL
181,954,REL
513,827,REL
311,947,REL
579,544,REL
742,989,REL
656,19,REL
978,113,REL
540,434,REL
240,718,REL
3,445,REL
504,161,REL
944,663,REL
874,505,REL
140,431,REL
134,369,REL
151,613,REL
269,312,REL
718,737,REL
247,3,REL
880,233,REL
246,435,REL
114,469,REL
682,953,REL
802,519,REL
146,498,REL
544,708,REL
957,847,REL
672,6,REL
651,616,REL
760,663,REL
215,27,REL
453,37,REL
843,56,REL
44,889,REL
919,736,REL
336,293,REL
904,355,REL
145,634,REL
735,671,REL
489,480,REL
219,718,REL
39,944,REL
219,715,REL
842,40,REL
99,649,REL
239,297,REL
369,50,REL
225,153,REL
655,408,REL
832,351,REL
373,590,REL
780,445,REL
30,786,REL
441,519,REL
785,195,REL
615,684,REL
619,762,REL
257,438,REL
736,698,REL
326,349,REL
293,748,REL
736,575,REL
204,751,REL
630,582,REL
420,86,REL
771,998,REL
603,729,REL
489,794,REL
549,504,REL
822,338,REL
841,512,REL
545,185,REL
127,941,REL
689,20,REL
514,202,REL
953,500,REL
226,150,REL
968,830,REL
825,67,REL
97,811,REL
671,460,REL
167,427,REL
171,248,REL
53,503,REL
815,278,REL
380,881,REL
22,10,REL
603,630,REL
790,917,REL
564,815,REL
995,632,REL
29,721,REL
333,461,REL
288,295,REL
696,886,REL
663,990,REL
772,849,REL
153,48,REL
937,774,REL
811,244,REL
900,484,REL
139,375,REL
917,185,REL
957,135,REL
891,997,REL
626,13,REL
281,115,REL
984,895,REL
946,41,REL
634,786,REL
324,240,REL
113,264,REL
650,384,REL
866,746,REL
216,830,REL
670,688,REL
372,367,REL
215,110,REL
116,260,REL
423,360,REL
44,894,REL
379,50,REL
145,407,REL
828,425,REL
362,439,REL
673,894,REL
292,129,REL
662,496,REL
703,255,REL
276,142,REL
156,868,REL
286,214,REL
375,108,REL
404,647,REL
691,465,REL
991,436,REL
226,719,REL
465,906,REL
969,768,REL
274,921,REL
775,941,REL
877,682,REL
990,998,REL
657,986,REL
97,595,REL
19,76,REL
490,839,REL
715,280,REL
695,372,REL
839,508,REL
389,720,REL
66,228,REL
290,207,REL
277,815,REL
520,399,REL
409,490,REL
744,240,REL
129,324,REL
777,929,REL
291,835,REL
670,456,REL
400,266,REL
703,742,REL
270,230,REL
290,823,REL
554,586,REL
863,248,REL
576,878,REL
554,120,REL
270,987,REL
798,767,REL
471,725,REL
671,26,REL
452,166,REL
83,644,REL
957,77,REL
481,762,REL
594,949,REL
329,151,REL
676,465,REL
986,824,REL
721,615,REL
205,857,REL
604,176,REL
917,410,REL
483,724,REL
542,626,REL
774,928,REL
441,928,REL
772,189,REL
319,6,REL
706,714,REL
333,228,REL
608,821,REL
697,867,REL
655,747,REL
406,382,REL
301,498,REL
573,443,REL
279,967,REL
270,138,REL
74,275,REL
98,47,REL
432,675,REL
615,96,REL
923,795,REL
211,143,REL
892,283,REL
839,448,REL
429,572,REL
789,8,REL
120,623,REL
243,962,REL
905,808,REL
174,848,REL
865,312,REL
795,293,REL
520,527,REL
770,921,REL
579,746,REL
391,941,REL
30,174,REL
679,222,REL
900,199,REL
687,577,REL
656,601,REL
37,54,REL
73,547,REL
916,791,REL
984,3,REL
634,982,REL
169,414,REL
662,441,REL
584,749,REL
407,139,REL
929,396,REL
934,425,REL
280,533,REL
215,237,REL
645,992,REL
856,534,REL
192,753,REL
738,16,REL
702,840,REL
47,682,REL
633,10,REL
591,210,REL
937,276,REL
408,857,REL
716,890,REL
92,83,REL
999,99,REL
528,908,REL
612,136,REL
622,355,REL
735,835,REL
292,231,REL
912,103,REL
650,502,REL
513,171,REL
520,629,REL
936,684,REL
551,299,REL
67,632,REL
678,758,REL
807,772,REL
642,388,REL
331,284,REL
905,644,REL
29,195,REL
299,395,REL
862,622,REL
730,497,REL
11,336,REL
855,980,REL
312,100,REL
469,705,REL
199,124,REL
309,43,REL
254,673,REL
862,718,REL
157,807,REL
274,80,REL
196,587,REL
492,206,REL
11,686,REL
241,942,REL
38,868,REL
316,668,REL
132,255,REL
944,336,REL
965,94,REL
846,506,REL
545,848,REL
604,900,REL
35,757,REL
322,58,REL
71,983,REL
585,272,REL
298,716,REL
560,837,REL
811,88,REL
438,180,REL
716,543,REL
719,271,REL
980,408,REL
346,236,REL
956,47,REL
293,103,REL
192,957,REL
633,332,REL
264,569,REL
996,80,REL
